Round,Date,Team1,FThome,FTaway,HThome,HTaway, Team2,,1,2,Description
1,(Fri) 11 Aug 2017 (32),Arsenal FC,4,3,2,2,Leicester City FC,,Arsenal FC ,Leicester City FC,Arsenal FC   Vs. Leicester City FC
1,(Sat) 12 Aug 2017 (32),Brighton & Hove Albion FC,0,2,0,0,Manchester City FC,,Brighton & Hove Albion FC ,Manchester City FC,Brighton & Hove Albion FC   Vs. Manchester City FC
1,(Sat) 12 Aug 2017 (32),Chelsea FC,2,3,0,3,Burnley FC,,Chelsea FC,Burnley FC,Chelsea FC  Vs. Burnley FC
1,(Sat) 12 Aug 2017 (32),Crystal Palace FC,0,3,0,2,Huddersfield Town AFC,,Crystal Palace FC,Huddersfield Town AFC,Crystal Palace FC  Vs. Huddersfield Town AFC
1,(Sat) 12 Aug 2017 (32),Everton FC,1,0,1,0,Stoke City FC,,Everton FC,Stoke City FC,Everton FC  Vs. Stoke City FC
1,(Sat) 12 Aug 2017 (32),Southampton FC,0,0,0,0,Swansea City AFC,,Southampton FC,Swansea City AFC,Southampton FC  Vs. Swansea City AFC
1,(Sat) 12 Aug 2017 (32),Watford FC,3,3,2,1,Liverpool FC,,Watford FC,Liverpool FC,Watford FC  Vs. Liverpool FC
1,(Sat) 12 Aug 2017 (32),West Bromwich Albion FC,1,0,1,0,AFC Bournemouth,,West Bromwich Albion FC,AFC Bournemouth,West Bromwich Albion FC  Vs. AFC Bournemouth
1,(Sun) 13 Aug 2017 (32),Manchester United FC,4,0,1,0,West Ham United FC,,Manchester United FC,West Ham United FC,Manchester United FC  Vs. West Ham United FC
1,(Sun) 13 Aug 2017 (32),Newcastle United FC,0,2,0,0,Tottenham Hotspur FC,,Newcastle United FC,Tottenham Hotspur FC,Newcastle United FC  Vs. Tottenham Hotspur FC
2,(Sat) 19 Aug 2017 (33),AFC Bournemouth,0,2,0,0,Watford FC,,AFC Bournemouth,Watford FC,AFC Bournemouth  Vs. Watford FC
2,(Sat) 19 Aug 2017 (33),Burnley FC,0,1,0,0,West Bromwich Albion FC,,Burnley FC,West Bromwich Albion FC,Burnley FC  Vs. West Bromwich Albion FC
2,(Sat) 19 Aug 2017 (33),Leicester City FC,2,0,1,0,Brighton & Hove Albion FC,,Leicester City FC,Brighton & Hove Albion FC,Leicester City FC  Vs. Brighton & Hove Albion FC
2,(Sat) 19 Aug 2017 (33),Liverpool FC,1,0,0,0,Crystal Palace FC,,Liverpool FC,Crystal Palace FC,Liverpool FC  Vs. Crystal Palace FC
2,(Sat) 19 Aug 2017 (33),Southampton FC,3,2,2,1,West Ham United FC,,Southampton FC,West Ham United FC,Southampton FC  Vs. West Ham United FC
2,(Sat) 19 Aug 2017 (33),Stoke City FC,1,0,0,0,Arsenal FC,,Stoke City FC,Arsenal FC,Stoke City FC  Vs. Arsenal FC
2,(Sat) 19 Aug 2017 (33),Swansea City AFC,0,4,0,1,Manchester United FC,,Swansea City AFC,Manchester United FC,Swansea City AFC  Vs. Manchester United FC
2,(Sun) 20 Aug 2017 (33),Huddersfield Town AFC,1,0,0,0,Newcastle United FC,,Huddersfield Town AFC,Newcastle United FC,Huddersfield Town AFC  Vs. Newcastle United FC
2,(Sun) 20 Aug 2017 (33),Tottenham Hotspur FC,1,2,0,1,Chelsea FC,,Tottenham Hotspur FC,Chelsea FC,Tottenham Hotspur FC  Vs. Chelsea FC
2,(Mon) 21 Aug 2017 (34),Manchester City FC,1,1,0,1,Everton FC,,Manchester City FC,Everton FC,Manchester City FC  Vs. Everton FC
3,(Sat) 26 Aug 2017 (34),AFC Bournemouth,1,2,1,1,Manchester City FC,,AFC Bournemouth,Manchester City FC,AFC Bournemouth  Vs. Manchester City FC
3,(Sat) 26 Aug 2017 (34),Crystal Palace FC,0,2,0,1,Swansea City AFC,,Crystal Palace FC,Swansea City AFC,Crystal Palace FC  Vs. Swansea City AFC
3,(Sat) 26 Aug 2017 (34),Huddersfield Town AFC,0,0,0,0,Southampton FC,,Huddersfield Town AFC,Southampton FC,Huddersfield Town AFC  Vs. Southampton FC
3,(Sat) 26 Aug 2017 (34),Manchester United FC,2,0,0,0,Leicester City FC,,Manchester United FC,Leicester City FC,Manchester United FC  Vs. Leicester City FC
3,(Sat) 26 Aug 2017 (34),Newcastle United FC,3,0,1,0,West Ham United FC,,Newcastle United FC,West Ham United FC,Newcastle United FC  Vs. West Ham United FC
3,(Sat) 26 Aug 2017 (34),Watford FC,0,0,0,0,Brighton & Hove Albion FC,,Watford FC,Brighton & Hove Albion FC,Watford FC  Vs. Brighton & Hove Albion FC
3,(Sun) 27 Aug 2017 (34),Chelsea FC,2,0,2,0,Everton FC,,Chelsea FC,Everton FC,Chelsea FC  Vs. Everton FC
3,(Sun) 27 Aug 2017 (34),Liverpool FC,4,0,2,0,Arsenal FC,,Liverpool FC,Arsenal FC,Liverpool FC  Vs. Arsenal FC
3,(Sun) 27 Aug 2017 (34),Tottenham Hotspur FC,1,1,0,0,Burnley FC,,Tottenham Hotspur FC,Burnley FC,Tottenham Hotspur FC  Vs. Burnley FC
3,(Sun) 27 Aug 2017 (34),West Bromwich Albion FC,1,1,0,0,Stoke City FC,,West Bromwich Albion FC,Stoke City FC,West Bromwich Albion FC  Vs. Stoke City FC
4,(Sat) 9 Sep 2017 (36),Arsenal FC,3,0,2,0,AFC Bournemouth,,Arsenal FC,AFC Bournemouth,Arsenal FC  Vs. AFC Bournemouth
4,(Sat) 9 Sep 2017 (36),Brighton & Hove Albion FC,3,1,1,0,West Bromwich Albion FC,,Brighton & Hove Albion FC,West Bromwich Albion FC,Brighton & Hove Albion FC  Vs. West Bromwich Albion FC
4,(Sat) 9 Sep 2017 (36),Everton FC,0,3,0,2,Tottenham Hotspur FC,,Everton FC,Tottenham Hotspur FC,Everton FC  Vs. Tottenham Hotspur FC
4,(Sat) 9 Sep 2017 (36),Leicester City FC,1,2,0,1,Chelsea FC,,Leicester City FC,Chelsea FC,Leicester City FC  Vs. Chelsea FC
4,(Sat) 9 Sep 2017 (36),Manchester City FC,5,0,2,0,Liverpool FC,,Manchester City FC,Liverpool FC,Manchester City FC  Vs. Liverpool FC
4,(Sat) 9 Sep 2017 (36),Southampton FC,0,2,0,1,Watford FC,,Southampton FC,Watford FC,Southampton FC  Vs. Watford FC
4,(Sat) 9 Sep 2017 (36),Stoke City FC,2,2,1,1,Manchester United FC,,Stoke City FC,Manchester United FC,Stoke City FC  Vs. Manchester United FC
4,(Sun) 10 Sep 2017 (36),Burnley FC,1,0,1,0,Crystal Palace FC,,Burnley FC,Crystal Palace FC,Burnley FC  Vs. Crystal Palace FC
4,(Sun) 10 Sep 2017 (36),Swansea City AFC,0,1,0,0,Newcastle United FC,,Swansea City AFC,Newcastle United FC,Swansea City AFC  Vs. Newcastle United FC
4,(Mon) 11 Sep 2017 (37),West Ham United FC,2,0,0,0,Huddersfield Town AFC,,West Ham United FC,Huddersfield Town AFC,West Ham United FC  Vs. Huddersfield Town AFC
5,(Fri) 15 Sep 2017 (37),AFC Bournemouth,2,1,0,0,Brighton & Hove Albion FC,,AFC Bournemouth,Brighton & Hove Albion FC,AFC Bournemouth  Vs. Brighton & Hove Albion FC
5,(Sat) 16 Sep 2017 (37),Crystal Palace FC,0,1,0,1,Southampton FC,,Crystal Palace FC,Southampton FC,Crystal Palace FC  Vs. Southampton FC
5,(Sat) 16 Sep 2017 (37),Huddersfield Town AFC,1,1,0,0,Leicester City FC,,Huddersfield Town AFC,Leicester City FC,Huddersfield Town AFC  Vs. Leicester City FC
5,(Sat) 16 Sep 2017 (37),Liverpool FC,1,1,1,1,Burnley FC,,Liverpool FC,Burnley FC,Liverpool FC  Vs. Burnley FC
5,(Sat) 16 Sep 2017 (37),Newcastle United FC,2,1,1,0,Stoke City FC,,Newcastle United FC,Stoke City FC,Newcastle United FC  Vs. Stoke City FC
5,(Sat) 16 Sep 2017 (37),Tottenham Hotspur FC,0,0,0,0,Swansea City AFC,,Tottenham Hotspur FC,Swansea City AFC,Tottenham Hotspur FC  Vs. Swansea City AFC
5,(Sat) 16 Sep 2017 (37),Watford FC,0,6,0,3,Manchester City FC,,Watford FC,Manchester City FC,Watford FC  Vs. Manchester City FC
5,(Sat) 16 Sep 2017 (37),West Bromwich Albion FC,0,0,0,0,West Ham United FC,,West Bromwich Albion FC,West Ham United FC,West Bromwich Albion FC  Vs. West Ham United FC
5,(Sun) 17 Sep 2017 (37),Chelsea FC,0,0,0,0,Arsenal FC,,Chelsea FC,Arsenal FC,Chelsea FC  Vs. Arsenal FC
5,(Sun) 17 Sep 2017 (37),Manchester United FC,4,0,1,0,Everton FC,,Manchester United FC,Everton FC,Manchester United FC  Vs. Everton FC
6,(Sat) 23 Sep 2017 (38),Burnley FC,0,0,0,0,Huddersfield Town AFC,,Burnley FC,Huddersfield Town AFC,Burnley FC  Vs. Huddersfield Town AFC
6,(Sat) 23 Sep 2017 (38),Everton FC,2,1,0,0,AFC Bournemouth,,Everton FC,AFC Bournemouth,Everton FC  Vs. AFC Bournemouth
6,(Sat) 23 Sep 2017 (38),Leicester City FC,2,3,1,2,Liverpool FC,,Leicester City FC,Liverpool FC,Leicester City FC  Vs. Liverpool FC
6,(Sat) 23 Sep 2017 (38),Manchester City FC,5,0,1,0,Crystal Palace FC,,Manchester City FC,Crystal Palace FC,Manchester City FC  Vs. Crystal Palace FC
6,(Sat) 23 Sep 2017 (38),Southampton FC,0,1,0,1,Manchester United FC,,Southampton FC,Manchester United FC,Southampton FC  Vs. Manchester United FC
6,(Sat) 23 Sep 2017 (38),Stoke City FC,0,4,0,2,Chelsea FC,,Stoke City FC,Chelsea FC,Stoke City FC  Vs. Chelsea FC
6,(Sat) 23 Sep 2017 (38),Swansea City AFC,1,2,0,1,Watford FC,,Swansea City AFC,Watford FC,Swansea City AFC  Vs. Watford FC
6,(Sat) 23 Sep 2017 (38),West Ham United FC,2,3,0,2,Tottenham Hotspur FC,,West Ham United FC,Tottenham Hotspur FC,West Ham United FC  Vs. Tottenham Hotspur FC
6,(Sun) 24 Sep 2017 (38),Brighton & Hove Albion FC,1,0,0,0,Newcastle United FC,,Brighton & Hove Albion FC,Newcastle United FC,Brighton & Hove Albion FC  Vs. Newcastle United FC
6,(Mon) 25 Sep 2017 (39),Arsenal FC,2,0,1,0,West Bromwich Albion FC,,Arsenal FC,West Bromwich Albion FC,Arsenal FC  Vs. West Bromwich Albion FC
7,(Sat) 30 Sep 2017 (39),AFC Bournemouth,0,0,0,0,Leicester City FC,,AFC Bournemouth,Leicester City FC,AFC Bournemouth  Vs. Leicester City FC
7,(Sat) 30 Sep 2017 (39),Chelsea FC,0,1,0,0,Manchester City FC,,Chelsea FC,Manchester City FC,Chelsea FC  Vs. Manchester City FC
7,(Sat) 30 Sep 2017 (39),Huddersfield Town AFC,0,4,0,3,Tottenham Hotspur FC,,Huddersfield Town AFC,Tottenham Hotspur FC,Huddersfield Town AFC  Vs. Tottenham Hotspur FC
